experiment,run,clientsNumber,putInterval,keyspaceSize,avg,putRequests,avgCommitedPut
ROWA,162,5,2000ms,50,0.9276666666666666,1800.0,1669.8
ROWA,163,5,2000ms,40,0.9042222222222221,1800.0,1627.6
ROWA,164,5,2000ms,30,0.8816666666666667,1800.0,1587.0
ROWA,165,5,2000ms,20,0.8203333333333332,1800.0,1476.6
ROWA,166,5,2000ms,10,0.6593333333333333,1800.0,1186.8
ROWA,167,5,2000ms,5,0.4252222222222222,1800.0,765.4
ROWA,168,5,2000ms,3,0.21466666666666664,1800.0,386.4
ROWA,169,5,2000ms,2,0.07922222222222222,1800.0,142.6
ROWA,170,5,2000ms,1,0.0,1800.0,0.0
ROWA,171,5,1000ms,50,0.9255555555555556,3600.0,3332.0
ROWA,172,5,1000ms,40,0.9031111111111111,3600.0,3251.2
ROWA,173,5,1000ms,30,0.8741111111111112,3600.0,3146.8
ROWA,174,5,1000ms,20,0.8178333333333333,3600.0,2944.2
ROWA,175,5,1000ms,10,0.6682222222222222,3600.0,2405.6
ROWA,176,5,1000ms,5,0.42444444444444446,3600.0,1528.0
ROWA,177,5,1000ms,3,0.2152222222222222,3600.0,774.8
ROWA,178,5,1000ms,2,0.07588888888888888,3600.0,273.2
ROWA,179,5,1000ms,1,0.0,3600.0,0.0
ROWA,180,5,500ms,50,0.9244444444444444,7200.0,6656.0
ROWA,181,5,500ms,40,0.9087777777777778,7200.0,6543.2
ROWA,182,5,500ms,30,0.8753888888888889,7200.0,6302.8
ROWA,183,5,500ms,20,0.8205,7200.0,5907.6
ROWA,184,5,500ms,10,0.66575,7200.0,4793.4
ROWA,185,5,500ms,5,0.42011111111111116,7200.0,3024.8
ROWA,186,5,500ms,3,0.21697222222222223,7200.0,1562.2
ROWA,187,5,500ms,2,0.07322222222222223,7200.0,527.2
ROWA,188,5,500ms,1,0.0,7200.0,0.0
ROWA,189,5,300ms,50,0.8873500000000001,12000.0,10648.2
ROWA,190,5,300ms,40,0.8593000000000001,12000.0,10311.6
ROWA,191,5,300ms,30,0.8166833333333334,12000.0,9800.2
ROWA,192,5,300ms,20,0.7448999999999999,12000.0,8938.8
ROWA,193,5,300ms,10,0.5626166666666667,12000.0,6751.4
ROWA,194,5,300ms,5,0.3373333333333333,12000.0,4048.0
ROWA,195,5,300ms,3,0.18384999999999999,12000.0,2206.2
ROWA,196,5,300ms,2,0.09538333333333332,12000.0,1144.6
ROWA,197,5,300ms,1,0.038266666666666664,12000.0,459.2
ROWA,198,5,200ms,50,0.8482333333333334,18000.0,15268.2
ROWA,199,5,200ms,40,0.8148666666666667,18000.0,14667.6
ROWA,200,5,200ms,30,0.7653111111111112,18000.0,13775.6
ROWA,201,5,200ms,20,0.6772333333333334,18000.0,12190.2
ROWA,202,5,200ms,10,0.4835666666666667,18000.0,8704.2
ROWA,203,5,200ms,5,0.2724111111111111,18000.0,4903.4
ROWA,204,5,200ms,3,0.1378111111111111,18000.0,2480.6
ROWA,205,5,200ms,2,0.06705555555555555,18000.0,1207.0
ROWA,206,5,200ms,1,0.031544444444444444,18000.0,567.8
ROWA,207,5,100ms,50,0.7165944444444445,36000.0,25797.4
ROWA,208,5,100ms,40,0.6649611111111111,36000.0,23938.6
ROWA,209,5,100ms,30,0.5925111111111111,36000.0,21330.4
ROWA,210,5,100ms,20,0.4738111111111111,36000.0,17057.2
ROWA,211,5,100ms,10,0.27082222222222224,36000.0,9749.6
ROWA,212,5,100ms,5,0.11531666666666665,36000.0,4151.4
ROWA,213,5,100ms,3,0.053033333333333335,36000.0,1909.2
ROWA,214,5,100ms,2,0.0292,36000.0,1051.2
ROWA,215,5,100ms,1,0.013161111111111111,36000.0,473.8
